,,timestamp,tweet
3064,jennablan,2019-29-08 14:01:46,Apple to supply parts to independent repair shops for first time via ⁦@StephenNellis⁩  https://t.co/rflK2EnnQq
3067,jennablan,2019-29-08 13:53:16,Exclusive: India to woo foreign firms like Apple to capitalize on U.S.-China trade war https://t.co/wWYd8HCvEJ
3072,jennablan,2019-28-08 21:48:11,"Brazil announces South American meeting on Amazon, takes Chile's help https://t.co/fI0JzPwjW5"
3077,jennablan,2019-28-08 20:33:52,Fitbit unveils Versa 2 smartwatch with Amazon Alexa https://t.co/lRChWxVTm7
3078,jennablan,2019-28-08 20:31:32,Apple's data shows a deepening dependence on China as Trump's tariffs loom via ⁦@StephenNellis⁩  https://t.co/3LwAWOfJDl
3083,jennablan,2019-27-08 13:16:07,Brazil may accept G7 Amazon aid if France's Macron withdraws 'insults': Bolsonaro https://t.co/hP5x42sUM3
3086,jennablan,2019-27-08 12:10:15,Brazil to reject G7 offer of aid to fight Amazon fires: G1  https://t.co/l8PF9R02G4
45,justinaknope,8/1/2020,"Love that this is a headline: 

Ghosn Denies He Has Political Aims or a Netflix Deal"
99,justinaknope,2019-13-12 12:39:33,Lulu Wang is directing an Amazon series about a group of expats in Hong Kong starring Nicole Kidman (based on the n… https://t.co/EPpq3kl6G5
159,justinaknope,2019-13-11 12:31:39,"Next in Google's Quest for Consumer Dominance -- Banking 

'The project, code-named Cache, is expected to launch ne… https://t.co/0VeZnCZSJn"
425,justinaknope,2019-18-07 15:03:41,Stranger Things is the New Black of let's-shoehorn-a-cool-pop-culture-reference-into-our-Netflix-earnings-commentary
524,justinaknope,2019-16-06 18:37:27,This @appledaily_hk drone video of the #HongKongProtests against the #extraditionbill is absolutely stunning. This… https://t.co/oJmDrzKFxr
591,justinaknope,2019-30-05 19:25:22,"(As usual used Google to check spelling, but I mention her so much in the context of dream Sally Rooney casting tha… https://t.co/r3F8iMgboz"
363,DMartinoBooth,2020-17-01 13:57:39,"RT @Schuldensuehner: #Google hit $1tn mkt cap. Big companies have never dominated the S&amp;P 500 like they do now. Top5 #Apple, #Microsoft, Go…"
377,DMartinoBooth,2020-16-01 22:49:03,"RT @Schuldensuehner: #Google’s parent, Alphabet, joins $1tn market cap club that includes Apple and Microsoft. Amazon was also worth a tril…"
639,DMartinoBooth,2020-13-01 21:29:07,"RT @4Awesometweet: Market Recap: 

China not a currency manipulator
Stocks New Highs (🦞)
Led by Apple +$6
Apple stylus (iPen) is greatest t…"
661,DMartinoBooth,2020-13-01 17:13:15,"Take a moment to read the fine print. Then Google: “herding”

⁦@Quillintel⁩ 

⁦@SoberLook⁩ https://t.co/c6B09wPubu"
685,DMartinoBooth,2020-13-01 15:58:44,RT @Schuldensuehner: #Alphabet on the brink of joining the $1tn club: #Google’s sales growth is as fast as a decade ago due to comp's succe…
860,DMartinoBooth,9/1/2020,RT @Schuldensuehner: #Apple hit fresh ATH at $309 on optimism for a strong end to 2019. #Microsoft w/new high as well at $162. Combined mkt…
1278,DMartinoBooth,5/1/2020,@a2bmedia2012 @gamesblazer06 @KeithMcCullough @Hedgeye Google GDP math as it pertains to imports. Collapsing import… https://t.co/zAfnjyuXUY
18,SteveMatthews12,2020-18-01 00:06:19,@WaitCapital @Joe_FoxNM Facebook is a monopoly in social media? Apple is a monopoly in smartphones? Really?
92,SteveMatthews13,7/1/2020,"Is Facebook (or Twitter) worth $50 a month? If you added that to GDP, you could add 0.11 points to growth.

That's… https://t.co/fSE16dvGU3"
695,SteveMatthews14,2019-28-10 16:18:14,"VAMMO is the new FAANG 
https://t.co/AsG8O2lAyG via @bopinion @business $V $AAPL $MSFT $MA $ORCL"
848,SteveMatthews15,2019-13-10 15:03:37,@ewarren I don’t think the news media should broadcast lies and I don’t think Facebook should either. If an ad is u… https://t.co/VI1QXzNi3J
988,SteveMatthews16,2019-29-09 14:25:56,"@DeanBaker13 Fair enough, no doubt that’s true. I guess it benefited other online retailers as well, but Amazon seems to dominate."
990,SteveMatthews17,2019-29-09 13:35:48,@DeanBaker13 Amazon collects a sales tax from its customers like other retailers.
1128,SteveMatthews18,2019-16-09 21:16:48,@DeanBaker13 Exactly right. No one has a problem with a CEO founder who creates enormous wealth—say Apple or Micros… https://t.co/J6P35JEscE
1373,SteveMatthews19,2019-27-08 20:42:37,"@vixcontango OTOH, there has been a winner-take-all theme for the large caps like Amazon or Google-- big companies… https://t.co/DxGJc6juNF"
1416,SteveMatthews20,2019-25-08 22:27:22,Amazon and Microsoft are among the companies that have arguably most benefitted from market dominance. https://t.co/TtdhTmiS2o
1437,SteveMatthews21,2019-23-08 17:49:51,"@owenrumney @TheStalwart @BBCNews Roraima, Acre, Rondônia and Amazonas all saw a large percentage increase in fires… https://t.co/VzmgXPdgN9"
1480,SteveMatthews22,2019-20-08 13:33:20,"RT @LJKawa: .@RenMacLLC's Dutta:

Google searches for 'recession' are spiking.

Searches for 'unemployment benefits' aren't.

'In mid-2008,…"
1684,SteveMatthews23,4/8/2019,"Excellent question, @amazon ? https://t.co/W2yVzCUymx"
1775,SteveMatthews24,2019-17-07 17:26:50,@LJKawa @taralach Apple was Steve Jobs' favorite fruit ... he sometimes eat apples only for weeks at a time... seem… https://t.co/Z1EBzjXjWA
1891,SteveMatthews25,5/7/2019,"@MattBaume Oklahoma City has a gay resort with lots of LGBT bars, worth checking out. Google Oklahoma City gay reso… https://t.co/tFfyX8bHOS"
2179,SteveMatthews26,10/6/2019,"FANG is so 2018. What the world needs  now is a BANG index. Bye Facebook, hello Beyond Meat. $BYND https://t.co/OS2BgSS2i0"
2338,SteveMatthews27,2019-30-05 13:56:09,. @Disney joins @netflix in considering leaving Georgia if the state law prohibiting abortion at around 6 weeks tak… https://t.co/uUy7CbRdl4
2365,SteveMatthews28,2019-28-05 12:46:26,@conorsen Facebook's cooperation with the Russian interference in the election and now its refusal to remove the fa… https://t.co/9DY4CmqBGo
2396,SteveMatthews29,2019-23-05 14:21:13,"If Bajari is correct and companies like Amazon are regularly lowering quality adjusted prices, the implication is t… https://t.co/7ML2mEWZMO"
2397,SteveMatthews30,2019-23-05 14:08:52,"Quality adjusted prices generally fall over time, Amazon Chief Economist Patrick Bajari says @DallasFed conference… https://t.co/1SAd9uCn3e"
2493,SteveMatthews31,2019-13-05 12:59:25,@cabaum1 @amazon I DID think about printing it out ... but yeah seems like binding is needed... it's $9 I think (fr… https://t.co/5qGvjkrZKy
2495,SteveMatthews32,2019-13-05 12:42:52,"Belatedly ordered a copy of the #MuellerReport on @Amazon I kind of know all the spoilers, but seems like a good id… https://t.co/zuW6ijup2X"
2942,SteveMatthews33,2019-16-02 21:09:00,@TheStalwart I’m surprised the Amazon decision hasn’t generated more discussion of some national ban on local tax g… https://t.co/4r7BX3QHxM
2947,SteveMatthews34,2019-15-02 15:12:49,Full speech is here: https://t.co/dx0QsiF4oe It is also available on Facebook Live on the @AtlantaFed site there.
2953,SteveMatthews35,2019-14-02 14:23:39,"@NatsLady @business @jeffkearns Redbook, MasterCard, Amazon -- there were lots of legitimate reports out there duri… https://t.co/FeU5UQwQIr"
3001,SteveMatthews36,5/2/2019,"Thread ...

Though, offhand Google capital spending nearly doubled last year; Amazon is on track to nearly triple t… https://t.co/G1Hc0fGB1v"
